user,restaurant,address
amyzhaoyu,Oleana,"134 Hampshire St, Cambridge, MA 02139"
ceriley,Paseo,"4225 Fremont Ave N, Seattle, WA 98103"
daniman,Pepper Sky's,"20 Pearl Street, Cambridge, MA 02139"
ehzhang,The Friendly Toast,"1 Kendall Square, #b3101, Cambridge, MA 02139"
hayleysong,Buk Kyung,"9 Union Sq Ste A, Citizens Bank - Union Square, Somerville, MA 02143"
Val Healy,Life Alive,"765 Massachusetts Ave, Cambridge, MA 02139"
hsubrama,Udupi Bhavan,"1717 Middlesex St, Lowell, MA 01851"
infrared,Friendly Toast,"1 Kendall Square,#b3101, Cambridge, MA 02139"
nessig,veggie galaxy,"450 Massachusetts Ave, Cambridge, MA 02139"
rahulb,Tu y Yo,"858 Broadway, Somerville, MA 02144"
ssuen,Shabu & Mein,"148 First St, Cambridge, MA 02141"
tami,A@Time,"433 Cambridge St, Allston, MA 02134"
zhangjia,O Ya,"9 East St, Boston, MA 02111"
